latitude,longitude,instrument,seasonal_longitude,seasonal_bin,sol_range_start,sol_range_end,median_sol,reliability_score,power_reliability,routine_ratio,complexity_score,complexity_std,sample_count,reliability_std,mission_age_factor,systems_involved,operational_tempo,science_activity_rate,maintenance_activity_rate,recovery_activity_rate,movement_required_rate,power_intensive_rate,temperature_celsius,wind_speed_variability,weather_data_quality,seasonal_intensity_factor,orbital_thermal_factor,diurnal_thermal_factor,combined_thermal_stress
50.23,-52.5,IDA,307.5,20,1203,1305,1230,0.8157,0.8266,0.8849,0.6354,0.1113,6,0.0283,2.5,3.6,1.57,0.4659,0.2234,0.1555,0.4921,0.5941,-58.8,0.65,17.0,1.11,0.17,0.34,-999.0
49.165,-37.5,IDA,322.5,21,1263,1364,1290,0.9561,1.0,0.7755,0.6357,0.1257,23,0.0447,2.62,2.4,0.98,0.7816,0.2819,0.0457,0.5687,0.4473,-81.0,1.04,13.0,1.44,0.67,1.32,1.62
38.9,-22.5,IDA,337.5,22,1327,1424,1350,0.9461,0.9753,0.7861,0.6224,0.0713,10,0.0817,2.75,3.9,1.65,0.6547,0.2664,0.0182,0.5906,0.419,-53.1,0.52,13.0,1.32,0.98,0.85,2.04
40.152,-7.5,IDA,352.5,23,1383,1488,1410,0.8926,0.9287,0.738,0.5509,0.09,20,0.0841,2.88,1.5,1.28,0.7587,0.2422,0.1335,0.3689,0.2769,-999.0,0.34,9.0,0.48,0.2,0.44,0.91
17.539,7.5,HP3,7.5,0,9,109,30,0.679,0.6105,0.8398,0.5767,0.0582,15,0.1121,0.0,1.2,1.19,0.7225,0.3245,0.0369,0.3837,0.3482,-63.4,0.62,12.0,1.4,0.14,0.6,2.29
9.762,22.5,HP3,22.5,1,66,162,90,0.8805,0.9141,0.7191,0.2629,0.1237,14,0.0764,0.12,3.5,0.92,0.6141,0.17,0.0686,0.4896,0.342,-68.2,0.92,16.0,1.09,0.75,0.98,1.17
11.591,37.5,HP3,37.5,2,126,224,150,0.7831,0.8082,0.8801,0.2045,0.0725,10,0.0446,0.25,1.5,1.06,0.514,0.152,0.1794,0.3321,0.4098,-50.6,0.26,11.0,1.75,1.05,1.28,-999.0
20.725,52.5,HP3,52.5,3,188,289,210,0.8337,0.8044,0.684,0.6617,0.0687,8,0.0625,0.38,2.5,1.14,0.4459,0.2832,0.0577,0.5325,0.2617,-66.4,0.17,10.0,0.42,0.17,1.49,2.12
18.47,67.5,HP3,67.5,4,248,345,270,0.8766,0.8427,0.7236,0.4093,0.143,16,0.0609,0.5,3.8,2.19,0.482,0.2138,0.1853,0.5886,0.2192,-56.0,1.15,17.0,1.52,0.31,0.58,2.32
17.44,82.5,HP3,82.5,5,308,406,330,0.8893,0.8381,0.8141,0.7398,0.1124,5,0.0948,0.62,2.5,1.13,0.7598,0.2152,0.1087,0.6626,0.4497,-999.0,1.42,14.0,0.74,0.25,1.25,1.57
10.356,97.5,HP3,97.5,6,361,464,390,0.8574,0.8648,0.8336,0.2859,0.0705,6,0.0962,0.75,3.6,1.28,0.7285,0.1332,0.1693,0.351,0.3589,-79.8,0.42,16.0,1.35,0.81,1.13,1.0
20.446,112.5,HP3,112.5,7,426,525,450,0.7819,0.7665,0.7203,0.4772,0.1447,16,0.1112,0.88,1.4,0.94,0.5024,0.3178,0.1186,0.3409,0.5675,-84.2,1.01,17.0,0.8,0.18,0.39,-999.0
10.54,127.5,HP3,127.5,8,484,585,510,0.7922,0.7781,0.8512,0.3993,0.0811,23,0.0791,1.0,2.2,0.88,0.5341,0.3409,0.0009,0.4334,0.3593,-52.8,0.58,10.0,1.38,0.6,0.57,0.78
13.919,142.5,HP3,142.5,9,548,640,570,0.7714,0.7318,0.7087,0.5484,0.1132,22,0.0864,1.12,1.5,2.15,0.4595,0.2244,0.0171,0.6987,0.4009,-82.7,1.15,8.0,1.64,0.33,0.53,-999.0
9.209,157.5,HP3,157.5,10,603,701,630,0.855,0.8218,0.7573,0.4645,0.0901,10,0.0965,1.25,1.3,1.27,0.4302,0.326,0.0545,0.659,0.4106,-50.7,1.28,18.0,0.85,0.71,0.6,-999.0
12.857,172.5,HP3,172.5,11,665,762,690,0.8047,0.8091,0.8662,0.534,0.1221,7,0.0443,1.38,3.2,2.0,0.7321,0.2192,0.1336,0.382,0.3173,-84.5,0.22,8.0,0.24,0.3,1.0,2.29
11.792,-172.5,HP3,187.5,12,722,822,750,0.5978,0.6292,0.7771,0.3608,0.1124,10,0.0974,1.5,2.1,2.01,0.4878,0.3924,0.156,0.3457,0.4263,-68.5,0.35,12.0,1.02,0.92,1.14,0.94
10.097,-157.5,HP3,202.5,13,782,886,810,0.5234,0.579,0.805,0.6936,0.103,14,0.0777,1.62,1.8,1.58,0.6606,0.3489,0.0413,0.3044,0.2548,-54.4,0.94,14.0,1.26,0.29,1.4,1.27
10.55,-142.5,HP3,217.5,14,841,942,870,0.497,0.4978,0.6271,0.6626,0.0568,15,0.0489,1.75,2.1,1.81,0.5188,0.2699,0.0952,0.5655,0.5747,-77.5,0.14,9.0,1.15,0.16,0.9,1.17
9.335,-127.5,HP3,232.5,15,901,1000,930,0.4737,0.481,0.7486,0.613,0.0935,11,0.0276,1.88,1.2,0.8,0.7871,0.1016,0.0206,0.4258,0.523,-57.3,1.07,13.0,0.34,1.15,1.21,2.02
21.408,-112.5,HP3,247.5,16,962,1068,990,0.5071,0.5481,0.794,0.6159,0.0552,19,0.0244,2.0,2.8,2.2,0.6223,0.242,0.0626,0.3482,0.4924,-999.0,0.26,11.0,1.47,0.92,0.37,1.54
13.196,-97.5,HP3,262.5,17,1022,1122,1050,0.5191,0.558,0.8089,0.4039,0.1225,16,0.0772,2.12,3.4,1.55,0.6647,0.3214,0.104,0.4707,0.5507,-68.8,1.49,5.0,0.5,0.52,1.42,-999.0
11.956,-82.5,HP3,277.5,18,1089,1189,1110,0.5816,0.5621,0.6275,0.4018,0.1023,5,0.0439,2.25,1.3,1.3,0.5149,0.1889,0.0467,0.3168,0.2071,-70.0,0.64,15.0,0.55,1.14,1.24,-999.0
20.93,-67.5,HP3,292.5,19,1142,1248,1170,0.5144,0.508,0.823,0.239,0.0902,23,0.0713,2.38,1.7,1.05,0.4882,0.1559,0.1559,0.4401,0.2231,-54.1,1.4,20.0,0.48,0.54,1.21,0.81
11.318,-52.5,HP3,307.5,20,1209,1308,1230,0.4637,0.4827,0.8685,0.7161,0.0957,7,0.0473,2.5,2.4,0.86,0.7409,0.1106,0.0658,0.6726,0.4941,-999.0,0.45,5.0,1.31,0.15,0.94,0.72
15.951,-37.5,HP3,322.5,21,1268,1361,1290,0.5736,0.5747,0.7631,0.7187,0.1234,23,0.1068,2.62,1.7,1.02,0.4642,0.2002,0.0477,0.672,0.2423,-78.4,1.33,19.0,0.94,1.07,0.31,0.96
11.783,-22.5,HP3,337.5,22,1322,1420,1350,0.6518,0.6621,0.768,0.2695,0.0877,17,0.098,2.75,1.3,1.87,0.6165,0.3889,0.0684,0.553,0.5728,-999.0,1.41,15.0,0.31,0.43,1.15,-999.0
16.612,-7.5,HP3,352.5,23,1382,1481,1410,0.5334,0.5623,0.897,0.6056,0.0946,7,0.0794,2.88,2.2,0.89,0.7286,0.2116,0.1638,0.401,0.2004,-999.0,0.76,19.0,0.36,1.04,0.93,1.1
-18.599,7.5,SEIS,7.5,0,3,100,30,0.9728,0.9901,0.889,0.2188,0.1231,19,0.062,0.0,2.9,1.36,0.5097,0.3952,0.0819,0.6576,0.292,-999.0,0.14,15.0,0.79,1.05,0.87,0.87
-11.388,22.5,SEIS,22.5,1,62,163,90,0.9633,0.977,0.6054,0.6781,0.0794,7,0.0385,0.12,2.4,0.8,0.6393,0.2822,0.0495,0.5234,0.2902,-999.0,1.01,10.0,1.14,0.58,1.48,-999.0
-16.393,37.5,SEIS,37.5,2,126,228,150,0.98,0.9684,0.858,0.6679,0.054,23,0.0305,0.25,1.7,2.18,0.457,0.2497,0.1236,0.581,0.4239,-999.0,0.56,13.0,0.34,0.49,0.34,-999.0
-14.099,52.5,SEIS,52.5,3,182,281,210,0.8804,0.8719,0.6124,0.6022,0.1452,7,0.1096,0.38,2.8,1.66,0.6452,0.1897,0.187,0.6789,0.4501,-63.6,0.78,15.0,1.08,0.76,1.24,0.58
-12.002,67.5,SEIS,67.5,4,247,348,270,0.908,0.8716,0.8615,0.3315,0.1476,8,0.0944,0.5,3.6,1.41,0.4175,0.1485,0.0042,0.5613,0.3329,-67.7,0.21,11.0,0.55,0.56,0.54,0.85
-10.383,82.5,SEIS,82.5,5,305,403,330,0.9019,0.917,0.8206,0.6606,0.1005,22,0.1067,0.62,2.7,1.41,0.6901,0.246,0.1747,0.6603,0.3687,-999.0,0.93,19.0,0.54,0.79,1.06,0.76
-19.271,97.5,SEIS,97.5,6,362,466,390,0.9182,0.926,0.7239,0.2415,0.0937,19,0.0793,0.75,2.7,1.73,0.4381,0.2956,0.0624,0.4596,0.5432,-999.0,0.92,14.0,0.83,0.36,0.58,1.38
-12.741,112.5,SEIS,112.5,7,429,520,450,0.8513,0.7927,0.7348,0.5527,0.1449,24,0.0579,0.88,2.8,1.3,0.6134,0.3345,0.1411,0.4785,0.5457,-66.1,0.15,20.0,0.4,0.35,0.36,0.95
-12.491,127.5,SEIS,127.5,8,484,584,510,0.8791,0.8523,0.744,0.6116,0.0517,22,0.1173,1.0,2.7,1.16,0.6087,0.2028,0.1064,0.3503,0.2531,-999.0,1.42,16.0,0.46,0.31,1.18,-999.0
-8.618,142.5,SEIS,142.5,9,542,641,570,0.9006,0.864,0.7854,0.7213,0.1071,16,0.0313,1.12,3.4,2.09,0.6402,0.3823,0.1654,0.5668,0.4309,-79.4,0.95,10.0,1.59,1.19,1.2,-999.0
-12.993,157.5,SEIS,157.5,10,606,703,630,0.8236,0.8138,0.8003,0.6847,0.1262,13,0.0517,1.25,3.6,1.33,0.5187,0.2947,0.0657,0.5521,0.4439,-71.7,0.87,14.0,1.07,0.59,0.32,0.84
-14.994,172.5,SEIS,172.5,11,665,769,690,0.9139,0.9348,0.8854,0.7083,0.1414,16,0.0349,1.38,2.6,1.14,0.5907,0.2183,0.1099,0.5988,0.4862,-56.2,0.7,18.0,0.31,1.15,1.09,0.89
-19.449,-172.5,SEIS,187.5,12,724,824,750,0.7806,0.7777,0.6855,0.3844,0.1303,7,0.0781,1.5,1.3,1.8,0.56,0.393,0.1646,0.509,0.2493,-57.0,0.36,9.0,1.47,0.3,1.4,0.67
-14.647,-157.5,SEIS,202.5,13,787,885,810,0.8307,0.8653,0.8458,0.7305,0.0728,13,0.0847,1.62,1.5,1.31,0.7624,0.331,0.1113,0.4023,0.3208,-55.2,1.04,17.0,1.43,0.26,0.81,-999.0
-15.361,-142.5,SEIS,217.5,14,845,940,870,0.8855,0.8747,0.6535,0.3874,0.073,11,0.0747,1.75,1.7,1.35,0.6378,0.249,0.1976,0.3546,0.4781,-70.0,1.1,15.0,1.79,0.24,0.42,1.66
-20.525,-127.5,SEIS,232.5,15,901,1003,930,0.8506,0.8445,0.6576,0.394,0.0727,13,0.0817,1.88,2.3,1.96,0.6678,0.121,0.128,0.4085,0.4371,-76.9,0.74,8.0,0.28,0.52,0.74,1.39
-20.483,-112.5,SEIS,247.5,16,965,1068,990,0.9243,0.8704,0.6511,0.4457,0.0923,20,0.0201,2.0,1.9,2.17,0.59,0.2148,0.024,0.6897,0.208,-58.1,0.44,15.0,0.35,0.38,1.25,1.72
-20.825,-97.5,SEIS,262.5,17,1024,1120,1050,0.8316,0.8323,0.6682,0.405,0.0881,6,0.1137,2.12,2.7,1.23,0.5588,0.2342,0.1201,0.5063,0.5678,-50.3,1.29,8.0,1.69,0.23,1.28,2.26
-11.133,-82.5,SEIS,277.5,18,1084,1188,1110,0.9199,0.9295,0.6968,0.2137,0.0654,7,0.0546,2.25,3.9,1.7,0.729,0.1398,0.1724,0.6691,0.3948,-58.2,0.34,13.0,0.84,0.26,0.74,-999.0
-8.789,-67.5,SEIS,292.5,19,1144,1241,1170,0.922,0.9379,0.6833,0.7109,0.05,15,0.082,2.38,3.0,1.01,0.4245,0.3342,0.092,0.3233,0.5979,-999.0,1.07,20.0,0.58,0.26,0.45,0.7
-14.874,-52.5,SEIS,307.5,20,1207,1307,1230,0.911,0.9161,0.8442,0.5691,0.0806,24,0.0856,2.5,3.5,1.81,0.7168,0.2214,0.1308,0.4417,0.4102,-78.8,0.64,19.0,0.6,0.25,0.8,1.66
-13.414,-37.5,SEIS,322.5,21,1265,1369,1290,0.89,0.9074,0.6724,0.7855,0.1302,17,0.0243,2.62,2.1,1.17,0.6584,0.2498,0.0532,0.3597,0.2509,-76.5,1.01,17.0,1.18,1.05,0.77,0.77
-9.096,-22.5,SEIS,337.5,22,1322,1420,1350,0.9608,0.9388,0.8523,0.2231,0.1402,15,0.0695,2.75,2.2,1.43,0.4908,0.3668,0.0901,0.653,0.2423,-69.5,0.17,6.0,1.39,0.82,1.26,-999.0
-16.499,-7.5,SEIS,352.5,23,1384,1483,1410,0.9501,0.9338,0.8324,0.5968,0.0685,15,0.0612,2.88,2.6,1.96,0.4275,0.2273,0.0165,0.5059,0.5596,-77.0,1.47,15.0,0.22,0.38,0.61,-999.0
-47.963,7.5,APSS,7.5,0,4,107,30,0.816,0.8144,0.6342,0.4916,0.142,20,0.1012,0.0,3.0,0.98,0.5353,0.3784,0.0449,0.4489,0.3728,-63.5,1.42,9.0,0.39,0.32,1.36,1.07
-40.749,22.5,APSS,22.5,1,65,167,90,0.7025,0.711,0.8245,0.5347,0.0681,15,0.052,0.12,3.3,1.18,0.6158,0.3184,0.0216,0.5741,0.2367,-67.9,0.31,10.0,0.86,0.93,1.19,0.71
-38.714,37.5,APSS,37.5,2,125,227,150,0.8881,0.8624,0.7385,0.2056,0.0747,9,0.1081,0.25,1.8,1.07,0.7519,0.2973,0.0622,0.5969,0.526,-60.9,0.63,13.0,1.04,1.03,1.31,0.52
-40.729,52.5,APSS,52.5,3,187,285,210,0.7576,0.7913,0.863,0.7978,0.0868,8,0.0922,0.38,3.7,1.63,0.5566,0.2238,0.1391,0.3013,0.4478,-57.2,0.23,14.0,0.97,0.81,0.38,1.62
-39.917,67.5,APSS,67.5,4,243,340,270,0.7616,0.7902,0.7909,0.2894,0.1195,16,0.0985,0.5,3.1,1.9,0.6069,0.2321,0.0295,0.4313,0.3736,-999.0,0.41,14.0,1.38,1.2,1.42,1.34
-46.502,82.5,APSS,82.5,5,307,408,330,0.6877,0.6955,0.8851,0.3218,0.1066,14,0.0535,0.62,1.1,0.83,0.7327,0.1819,0.1036,0.4195,0.5763,-999.0,0.7,18.0,1.55,0.3,1.26,1.47
-45.059,97.5,APSS,97.5,6,361,467,390,0.8468,0.8355,0.8189,0.6593,0.0659,16,0.0335,0.75,3.3,1.72,0.7826,0.1207,0.0114,0.4129,0.3047,-999.0,1.37,9.0,0.64,0.94,0.84,0.63
-47.544,112.5,APSS,112.5,7,422,527,450,0.5637,0.5902,0.7645,0.2768,0.1382,14,0.1028,0.88,3.4,1.67,0.5978,0.3939,0.029,0.5901,0.2765,-74.2,1.43,20.0,0.49,0.12,1.16,0.68
-49.543,127.5,APSS,127.5,8,489,586,510,0.8223,0.8234,0.8124,0.5261,0.0582,10,0.1047,1.0,2.3,1.0,0.6657,0.1648,0.0195,0.6448,0.3841,-74.8,1.2,7.0,0.77,1.18,1.25,1.18
-40.765,142.5,APSS,142.5,9,548,647,570,0.9585,0.9667,0.8633,0.7277,0.1371,13,0.076,1.12,3.3,1.58,0.621,0.1282,0.0687,0.413,0.3563,-72.0,0.73,11.0,0.35,0.59,0.53,-999.0
-48.726,157.5,APSS,157.5,10,608,706,630,0.8238,0.8026,0.7928,0.3175,0.1397,22,0.0358,1.25,3.1,1.91,0.5267,0.3572,0.1812,0.4108,0.5934,-999.0,0.38,8.0,1.63,0.82,0.48,1.73
-44.913,172.5,APSS,172.5,11,661,766,690,0.7512,0.7585,0.6367,0.6351,0.0823,10,0.118,1.38,3.0,0.98,0.6747,0.1279,0.0059,0.6292,0.2839,-50.9,0.57,9.0,1.67,0.22,1.21,2.3
-39.679,-172.5,APSS,187.5,12,725,827,750,0.8129,0.7877,0.6262,0.6314,0.092,6,0.0548,1.5,2.4,1.85,0.6605,0.2863,0.0705,0.6366,0.3885,-62.8,0.28,15.0,0.72,0.85,0.38,-999.0
-48.679,-157.5,APSS,202.5,13,783,883,810,0.8585,0.8442,0.8599,0.3293,0.086,7,0.0963,1.62,2.2,1.86,0.7614,0.1698,0.1615,0.3236,0.5595,-54.4,0.1,8.0,0.82,0.52,0.57,0.76
-53.033,-142.5,APSS,217.5,14,848,947,870,0.7857,0.8281,0.6082,0.7797,0.0627,23,0.1173,1.75,3.5,1.78,0.7358,0.3945,0.1243,0.5237,0.4513,-62.8,0.73,8.0,0.39,0.18,0.62,-999.0
-52.096,-127.5,APSS,232.5,15,909,1008,930,0.9188,0.9022,0.6144,0.7417,0.1352,13,0.053,1.88,2.0,2.18,0.6505,0.2594,0.1676,0.4141,0.3717,-999.0,1.2,14.0,1.25,0.38,0.56,1.98
-47.653,-112.5,APSS,247.5,16,964,1065,990,0.8213,0.818,0.7821,0.5788,0.1092,23,0.0437,2.0,2.5,0.95,0.5538,0.2463,0.1304,0.6802,0.4403,-67.3,0.99,6.0,0.61,0.5,0.87,-999.0
-50.065,-97.5,APSS,262.5,17,1023,1123,1050,0.6957,0.6337,0.6621,0.5099,0.0506,18,0.0249,2.12,3.5,1.98,0.514,0.2389,0.0877,0.3874,0.3587,-999.0,0.49,17.0,0.66,1.0,0.94,1.65
-45.823,-82.5,APSS,277.5,18,1081,1187,1110,0.6703,0.6737,0.7265,0.4466,0.1408,17,0.0808,2.25,1.9,1.95,0.782,0.3464,0.0003,0.5546,0.2205,-999.0,0.18,14.0,1.3,0.23,0.76,1.24
-52.15,-67.5,APSS,292.5,19,1143,1248,1170,0.8155,0.8008,0.8825,0.6011,0.1179,6,0.1088,2.38,2.8,1.5,0.4555,0.1347,0.0309,0.3687,0.4552,-66.5,1.26,20.0,1.51,0.86,0.94,0.67
-39.721,-52.5,APSS,307.5,20,1206,1304,1230,0.8712,0.8267,0.8077,0.458,0.1173,13,0.0506,2.5,3.4,1.42,0.7194,0.3467,0.1715,0.6667,0.3724,-64.6,0.62,14.0,1.33,0.86,0.75,-999.0
-52.909,-37.5,APSS,322.5,21,1262,1362,1290,0.8205,0.8076,0.7022,0.243,0.091,21,0.0301,2.62,3.5,1.54,0.7367,0.2741,0.1119,0.3421,0.2669,-77.0,1.47,13.0,0.42,0.21,0.55,1.33
-45.202,-22.5,APSS,337.5,22,1325,1429,1350,0.8248,0.8115,0.6348,0.7736,0.0814,10,0.0803,2.75,3.5,2.18,0.5154,0.3883,0.0779,0.4542,0.3362,-79.6,0.88,13.0,1.42,1.02,0.83,1.02
-48.829,-7.5,APSS,352.5,23,1387,1483,1410,0.8603,0.8462,0.7042,0.5483,0.0639,7,0.0351,2.88,3.5,1.09,0.713,0.3204,0.0601,0.4303,0.517,-59.4,0.31,18.0,1.34,1.1,0.46,1.7
72.459,7.5,CAMERA,7.5,0,7,104,30,0.8238,0.8223,0.8383,0.3655,0.1377,16,0.117,0.0,3.8,1.52,0.4375,0.3264,0.0984,0.421,0.3966,-65.3,0.72,14.0,1.67,0.5,1.17,1.41
73.066,22.5,CAMERA,22.5,1,63,168,90,0.8521,0.903,0.6178,0.2019,0.114,5,0.1093,0.12,1.2,2.04,0.5793,0.2531,0.1253,0.6706,0.2076,-60.9,1.11,15.0,0.42,0.43,0.73,1.06
65.143,37.5,CAMERA,37.5,2,121,223,150,0.845,0.8707,0.8502,0.6443,0.0643,12,0.1137,0.25,3.5,1.93,0.7538,0.31,0.0209,0.4596,0.4893,-999.0,1.06,5.0,0.69,0.7,1.06,1.9
73.421,52.5,CAMERA,52.5,3,186,281,210,0.8258,0.8359,0.6219,0.4417,0.0795,6,0.0481,0.38,3.4,2.1,0.562,0.3718,0.0643,0.4906,0.2904,-50.7,0.94,10.0,1.24,0.24,1.37,1.4
71.826,67.5,CAMERA,67.5,4,242,343,270,0.6486,0.6543,0.691,0.374,0.1063,8,0.0343,0.5,3.3,1.18,0.5987,0.1853,0.0268,0.5518,0.2217,-73.9,0.1,13.0,0.27,0.4,1.15,-999.0
66.019,82.5,CAMERA,82.5,5,301,402,330,0.7788,0.8126,0.7695,0.7199,0.1072,22,0.1092,0.62,2.3,2.07,0.5509,0.3892,0.0179,0.5748,0.3975,-62.9,1.09,5.0,0.47,0.88,1.1,2.02
66.054,97.5,CAMERA,97.5,6,363,462,390,0.8256,0.8574,0.7932,0.2289,0.086,20,0.0585,0.75,3.6,1.47,0.4444,0.2903,0.1542,0.3012,0.5436,-999.0,0.87,11.0,1.35,0.51,1.34,1.8
66.257,112.5,CAMERA,112.5,7,423,525,450,0.8768,0.8718,0.7934,0.4371,0.1213,5,0.109,0.88,1.9,1.31,0.4232,0.1335,0.1032,0.407,0.5342,-999.0,0.63,10.0,0.23,0.24,0.8,1.31
69.641,127.5,CAMERA,127.5,8,484,589,510,0.71,0.7105,0.7557,0.6065,0.0812,20,0.0973,1.0,2.6,2.17,0.4502,0.1051,0.154,0.6229,0.2481,-999.0,0.12,9.0,1.44,0.67,0.72,0.5
73.471,142.5,CAMERA,142.5,9,549,647,570,0.694,0.6955,0.835,0.6682,0.0958,8,0.1099,1.12,3.1,2.11,0.6413,0.242,0.0119,0.5687,0.4329,-76.6,0.84,15.0,1.23,0.72,1.23,-999.0
73.472,157.5,CAMERA,157.5,10,603,704,630,0.9071,0.9147,0.7582,0.7439,0.0664,15,0.046,1.25,2.0,2.08,0.5162,0.241,0.178,0.5831,0.2249,-999.0,0.11,14.0,0.92,0.25,1.45,0.98
67.747,172.5,CAMERA,172.5,11,666,761,690,0.7408,0.7476,0.7641,0.3082,0.0959,7,0.0366,1.38,2.3,1.09,0.42,0.3531,0.1962,0.6173,0.5415,-999.0,1.44,8.0,1.72,1.19,1.15,1.64
65.731,-172.5,CAMERA,187.5,12,726,821,750,0.783,0.7421,0.8944,0.3141,0.1293,6,0.0898,1.5,2.2,2.13,0.7868,0.2178,0.1708,0.6092,0.324,-999.0,0.74,17.0,1.74,0.94,1.33,2.17
