latitude,longitude,instrument,seasonal_longitude,seasonal_bin,sol_range_start,sol_range_end,median_sol,reliability_score,power_reliability,routine_ratio,complexity_score,complexity_std,sample_count,reliability_std,mission_age_factor,systems_involved,operational_tempo,science_activity_rate,maintenance_activity_rate,recovery_activity_rate,movement_required_rate,power_intensive_rate,success_rate,temperature_celsius,temperature_range_celsius,wind_speed_avg_ms,wind_speed_max_ms,wind_speed_variability,weather_data_quality,seasonal_intensity_factor,orbital_thermal_factor,diurnal_thermal_factor,combined_thermal_stress
72.785,7.5,CAMERA,67.5,4,1579,1867,1726,0.6016,0.5694,0.0,0.6036,0.2612,3,0.1158,1.72,3.3,1.23,0.3333,0.3333,0.0,0.6667,0.3333,0.6016,-53.1,21.6,7.2,12.2,2.27,6,0.75,1.23,1.36,1.72
66.938,22.5,CAMERA,82.5,5,29,1611,1437,0.5871,0.6072,0.1429,0.4386,0.2982,7,0.207,1.06,2.6,1.57,0.4286,0.0,0.0,0.4286,0.5714,0.5871,-49.8,18.9,8.7,22.2,2.02,14,1.05,0.9,1.1,1.54
65.749,37.5,CAMERA,97.5,6,35,1867,714,0.6838,0.7224,0.0,0.5969,0.2971,10,0.2069,0.84,3.2,1.14,0.8,0.0,0.0,0.7,0.3,0.6838,-51.6,15.3,4.6,22.6,2.65,20,1.26,1.1,1.12,1.37
65.702,52.5,CAMERA,112.5,7,210,1787,1452,0.6188,0.619,0.2,0.5099,0.332,5,0.2457,1.04,2.0,1.41,0.2,0.2,0.0,0.6,0.6,0.6188,-63.2,12.4,12.3,17.6,1.57,10,0.85,0.95,1.09,1.84
73.88,67.5,CAMERA,127.5,8,800,1956,1378,0.6534,0.5981,0.5,0.3845,0.0566,2,0.027,1.38,4.0,0.75,0.0,0.0,0.0,0.5,0.5,0.6534,-49.8,22.4,11.5,22.2,1.17,4,1.54,0.99,1.1,1.13
67.06,82.5,CAMERA,142.5,9,194,1614,731,0.6846,0.7162,0.2,0.6312,0.3358,5,0.2214,0.81,3.4,1.0,0.4,0.2,0.0,0.4,0.4,0.6846,-48.1,15.4,14.5,27.7,2.8,10,1.31,1.13,1.32,1.35
67.815,97.5,CAMERA,157.5,10,130,1133,695,0.6534,0.593,0.3333,0.4329,0.2896,6,0.2368,0.64,2.8,1.37,0.1667,0.0,0.0,0.5,0.5,0.6534,-49.4,15.1,7.8,25.7,2.8,12,0.86,0.76,1.12,1.23
66.089,112.5,CAMERA,172.5,11,279,1991,1023,0.604,0.5647,0.25,0.4541,0.194,4,0.1613,1.08,2.8,1.14,0.5,0.0,0.0,0.75,0.5,0.604,-68.5,17.7,10.2,21.7,2.93,8,0.97,1.04,1.07,1.4
68.27,127.5,CAMERA,187.5,12,492,1953,1336,0.5232,0.4853,0.25,0.685,0.3437,4,0.155,1.28,1.5,1.04,0.75,0.0,0.0,0.25,0.5,0.5232,-37.3,20.1,8.5,31.1,3.18,8,1.26,1.15,1.35,1.77
73.639,142.5,CAMERA,202.5,13,147,1651,543,0.629,0.5687,0.125,0.6266,0.2169,8,0.2407,0.71,3.4,1.25,0.375,0.125,0.0,0.625,0.5,0.629,-47.7,16.2,9.5,22.2,2.98,16,1.37,1.0,1.11,1.97
66.568,157.5,CAMERA,217.5,14,785,1998,1073,0.6891,0.6277,0.0,0.7265,0.2432,4,0.2211,1.23,3.2,1.26,0.5,0.25,0.0,0.5,0.5,0.6891,-49.5,16.6,5.7,25.3,2.75,8,1.02,1.03,1.07,1.13
71.808,172.5,CAMERA,232.5,15,634,1680,704,0.6438,0.5805,0.0,0.5195,0.2153,3,0.2924,1.01,4.3,1.26,0.6667,0.0,0.3333,0.3333,1.0,0.6438,-48.2,15.8,14.0,8.8,2.58,6,1.25,1.26,0.93,1.24
68.237,-172.5,CAMERA,247.5,16,757,1510,1205,0.8661,0.9058,0.0,0.736,0.2084,3,0.1541,1.16,2.7,1.2,0.0,0.6667,0.0,0.6667,0.0,0.8661,-64.9,17.3,14.4,33.0,2.77,6,1.35,1.15,1.25,1.94
73.339,-157.5,CAMERA,262.5,17,95,1903,510,0.6716,0.7129,0.25,0.348,0.1208,8,0.2414,0.81,2.9,1.19,0.25,0.125,0.0,0.75,0.375,0.6716,-47.0,18.1,7.8,22.1,2.03,16,1.19,1.03,1.03,2.14
68.076,-142.5,CAMERA,277.5,18,185,1694,618,0.5497,0.5374,0.5,0.6585,0.2294,8,0.179,0.82,3.1,1.42,0.375,0.0,0.0,0.75,0.25,0.5497,-45.5,17.1,10.2,21.5,2.74,16,1.02,1.23,0.87,1.87
67.859,-127.5,CAMERA,292.5,19,70,1409,1319,0.6955,0.7156,0.0,0.4511,0.2698,4,0.1909,1.03,2.8,1.21,0.5,0.25,0.0,0.25,0.75,0.6955,-59.7,11.7,14.4,15.5,2.71,8,1.25,0.84,0.82,1.99
72.431,-112.5,CAMERA,307.5,20,497,1991,1333,0.4722,0.4872,0.1667,0.5655,0.3059,6,0.1089,1.35,3.8,1.42,0.3333,0.0,0.0,0.5,0.8333,0.4722,-50.4,21.0,11.0,22.5,3.08,12,1.18,1.02,0.64,1.52
74.393,-97.5,CAMERA,322.5,21,1340,1375,1351,0.7265,0.7882,0.0,0.8466,0.1944,3,0.066,1.36,1.7,1.49,0.0,0.3333,0.3333,0.6667,1.0,0.7265,-45.2,20.6,12.6,35.9,3.15,6,1.0,0.81,0.78,2.05
68.598,-82.5,CAMERA,337.5,22,555,1980,1038,0.555,0.5986,0.7143,0.569,0.2218,7,0.2239,1.15,3.7,1.42,0.2857,0.0,0.0,0.2857,0.4286,0.555,-48.4,18.4,10.4,20.3,2.65,14,1.16,0.87,1.31,1.86
71.87,-67.5,CAMERA,352.5,23,406,1726,1258,0.7993,0.7786,0.0,0.5403,0.2684,5,0.1676,1.21,2.8,1.64,0.6,0.0,0.4,0.4,0.4,0.7993,-56.3,14.8,7.0,19.7,2.86,10,1.55,0.97,1.1,1.91
10.08,-142.5,HP3,7.5,0,750,1932,1468,0.6918,0.6459,0.3333,0.6364,0.1569,9,0.2086,1.37,3.9,1.21,0.4444,0.0,0.0,0.4444,0.1111,0.6918,-54.5,17.1,13.1,23.0,2.67,18,1.43,1.08,0.91,1.97
11.467,-127.5,HP3,22.5,1,556,1898,1350,0.7008,0.6978,0.0,0.5861,0.3684,9,0.1572,1.27,3.2,1.39,0.4444,0.2222,0.2222,0.3333,0.4444,0.7008,-53.8,18.9,7.9,20.8,3.01,18,1.22,0.8,1.19,1.64
15.258,-112.5,HP3,37.5,2,57,1795,926,0.5846,0.5392,0.1538,0.5775,0.2788,13,0.1839,1.0,3.3,1.13,0.6154,0.2308,0.0,0.2308,0.3077,0.5846,-51.8,16.0,10.4,15.8,2.25,26,1.11,1.04,1.15,1.94
13.992,-97.5,HP3,52.5,3,17,1812,999,0.6223,0.6671,0.125,0.5035,0.2536,16,0.223,0.97,2.9,1.32,0.375,0.125,0.0625,0.4375,0.5625,0.6223,-55.4,17.4,10.5,22.7,2.76,32,0.92,1.04,1.08,1.66
11.567,-82.5,HP3,67.5,4,421,1830,1321,0.6025,0.6298,0.1818,0.6872,0.218,11,0.1911,1.15,3.4,1.19,0.4545,0.0909,0.0,0.7273,0.3636,0.6025,-57.3,18.1,10.4,21.9,2.03,22,1.11,1.1,1.12,1.93
20.343,-67.5,HP3,82.5,5,65,1754,845,0.7159,0.7692,0.5,0.6141,0.2419,10,0.2334,0.86,3.2,1.49,0.1,0.1,0.0,0.6,0.5,0.7159,-62.4,19.2,7.6,26.7,2.6,20,1.01,0.95,1.02,1.65
12.258,-52.5,HP3,97.5,6,185,1938,1181,0.5324,0.4986,0.3,0.4877,0.2446,10,0.2123,1.09,3.0,1.26,0.3,0.1,0.1,0.5,0.7,0.5324,-54.0,17.2,7.2,19.7,2.98,20,0.67,0.93,1.15,1.69
20.068,-37.5,HP3,112.5,7,1173,1996,1584,0.6295,0.6471,0.5,0.3935,0.022,2,0.3267,1.58,3.0,0.67,0.0,0.5,0.0,1.0,1.0,0.6295,-54.6,24.2,6.8,28.2,1.85,4,1.16,0.74,1.14,2.2
16.796,-22.5,HP3,127.5,8,94,1977,845,0.7887,0.8024,0.3,0.6859,0.3323,10,0.2036,0.89,3.3,1.08,0.3,0.1,0.0,0.5,0.2,0.7887,-55.5,15.0,6.3,27.3,3.2,20,1.04,0.86,1.1,1.63
16.871,-7.5,HP3,142.5,9,332,1886,1580,0.7019,0.6746,0.25,0.5957,0.2055,8,0.2175,1.34,2.9,1.05,0.375,0.125,0.0,0.5,0.375,0.7019,-52.9,16.8,10.1,24.9,2.96,16,1.0,1.18,0.95,1.85
14.689,7.5,HP3,157.5,10,589,1893,832,0.6864,0.7056,0.4286,0.5699,0.3204,7,0.1536,1.06,3.3,1.54,0.5714,0.0,0.0,0.1429,0.4286,0.6864,-49.5,18.6,9.9,26.4,3.08,14,0.78,0.91,1.27,1.59
19.251,22.5,HP3,172.5,11,78,1854,999,0.6996,0.7476,0.2308,0.6087,0.2584,13,0.2026,0.96,2.7,1.28,0.4615,0.0,0.1538,0.6154,0.8462,0.6996,-52.0,20.1,6.8,23.2,2.5,26,0.91,1.0,1.01,1.85
12.057,37.5,HP3,187.5,12,52,1386,720,0.6792,0.6282,0.3,0.4292,0.2296,10,0.1922,0.8,3.2,1.6,0.2,0.0,0.1,0.3,0.4,0.6792,-54.7,14.7,11.3,23.1,3.14,20,1.14,0.98,1.21,1.92
9.657,52.5,HP3,202.5,13,318,1996,1416,0.7661,0.7156,0.375,0.6317,0.2261,8,0.1788,1.34,2.2,1.37,0.625,0.0,0.0,0.625,0.5,0.7661,-56.3,16.6,8.8,24.7,2.71,16,0.98,0.95,1.09,2.05
8.581,67.5,HP3,217.5,14,22,1880,1129,0.7572,0.7604,0.3846,0.5101,0.2889,13,0.1478,1.04,3.1,1.09,0.3077,0.1538,0.0769,0.6154,0.4615,0.7572,-54.4,19.2,7.9,24.3,2.67,26,1.06,0.81,1.11,1.76
21.192,82.5,HP3,232.5,15,11,1917,1130,0.7145,0.667,0.25,0.5827,0.2827,12,0.161,0.99,3.4,1.21,0.25,0.0833,0.0833,0.4167,0.4167,0.7145,-52.2,19.1,12.1,24.4,2.84,24,1.11,1.04,1.02,1.83
10.013,97.5,HP3,247.5,16,219,1439,813,0.7323,0.7341,0.125,0.611,0.2624,8,0.2208,0.79,2.1,1.38,0.25,0.125,0.0,0.125,0.75,0.7323,-50.9,19.8,13.0,21.3,3.36,16,1.1,1.02,1.05,1.84
8.751,112.5,HP3,262.5,17,62,1847,984,0.7096,0.6974,0.0833,0.616,0.2197,12,0.2071,1.03,3.2,1.27,0.5833,0.0833,0.0,0.5,0.6667,0.7096,-56.3,17.7,11.3,21.8,2.18,24,1.01,1.2,1.28,2.04
20.413,127.5,HP3,277.5,18,17,1848,842,0.6795,0.6478,0.6,0.5425,0.3351,10,0.2261,0.86,2.7,1.11,0.3,0.0,0.0,0.4,0.4,0.6795,-51.1,19.2,11.4,20.4,1.98,20,0.89,0.97,0.94,1.67
20.043,142.5,HP3,292.5,19,375,1698,1313,0.7879,0.7147,0.1429,0.6018,0.2504,7,0.1974,1.14,3.3,1.39,0.4286,0.1429,0.1429,0.5714,0.4286,0.7879,-49.6,12.6,10.4,17.6,2.1,14,1.29,1.04,1.04,1.85
13.47,157.5,HP3,307.5,20,61,1800,900,0.6376,0.6934,0.3333,0.6627,0.1836,9,0.2374,0.87,2.9,1.2,0.3333,0.1111,0.1111,0.4444,0.5556,0.6376,-48.4,17.4,10.7,21.6,1.76,18,0.79,0.74,0.95,1.41
9.736,172.5,HP3,322.5,21,1384,1960,1463,0.5707,0.6264,0.375,0.5896,0.3093,8,0.2057,1.53,3.5,1.21,0.25,0.25,0.0,0.375,0.25,0.5707,-50.6,18.3,11.7,27.3,3.01,16,1.17,1.13,0.91,2.04
8.339,-172.5,HP3,337.5,22,215,1846,1336,0.5958,0.6456,0.1667,0.4209,0.2961,6,0.1656,1.22,3.8,1.42,0.6667,0.1667,0.0,0.3333,0.3333,0.5958,-61.8,12.5,9.3,25.1,2.8,12,1.15,0.82,0.94,1.48
9.237,-157.5,HP3,352.5,23,498,1301,1150,0.8024,0.8047,0.0,0.6517,0.0812,4,0.2365,1.02,2.8,1.1,0.5,0.0,0.0,0.75,0.5,0.8024,-51.6,21.8,15.1,20.4,2.38,8,1.09,0.67,1.38,1.49
52.342,-172.5,IDA,7.5,0,156,1766,892,0.7119,0.7227,0.2308,0.6394,0.2065,13,0.1821,0.91,3.2,1.17,0.6923,0.0769,0.0,0.4615,0.3846,0.7119,-52.3,18.3,8.0,23.7,2.78,26,1.41,0.97,1.06,1.54
52.178,-157.5,IDA,22.5,1,173,1552,759,0.6046,0.6049,0.1667,0.3969,0.2863,6,0.2046,0.85,2.7,1.22,0.5,0.1667,0.1667,0.6667,0.5,0.6046,-48.7,12.0,5.0,24.0,3.42,12,1.12,1.08,0.74,1.72
42.843,-142.5,IDA,37.5,2,95,1847,1208,0.6514,0.6378,0.1538,0.6223,0.266,13,0.2189,1.18,2.8,1.29,0.4615,0.0,0.1538,0.6923,0.2308,0.6514,-50.7,16.8,10.1,18.4,2.48,26,1.1,0.96,1.1,2.13
45.047,-127.5,IDA,52.5,3,3,1602,836,0.634,0.6447,0.2143,0.6146,0.3242,14,0.181,0.87,2.9,1.21,0.4286,0.2143,0.0,0.5,0.5,0.634,-41.4,17.8,10.7,26.3,2.47,28,1.31,1.05,0.92,2.14
42.336,-112.5,IDA,67.5,4,217,1814,845,0.7268,0.6901,0.1,0.4473,0.3074,10,0.1949,0.93,2.9,1.2,0.7,0.0,0.0,0.7,0.5,0.7268,-51.5,19.0,8.7,14.8,2.29,20,1.12,0.96,0.85,1.59
50.571,-97.5,IDA,82.5,5,121,1887,1009,0.6372,0.6584,0.2308,0.4988,0.263,13,0.1389,0.97,3.5,1.11,0.3846,0.2308,0.0,0.3846,0.4615,0.6372,-49.1,18.0,10.3,20.1,2.68,26,1.09,1.1,0.9,1.71
42.604,-82.5,IDA,97.5,6,30,1986,835,0.5136,0.5189,0.1111,0.4879,0.2104,9,0.1892,0.93,2.9,1.13,0.3333,0.2222,0.1111,0.5556,0.2222,0.5136,-47.8,14.2,9.5,28.8,2.08,18,1.07,1.12,1.05,1.41
37.736,-67.5,IDA,112.5,7,359,1977,1185,0.7113,0.7657,0.2857,0.4688,0.2556,7,0.2046,1.15,3.7,1.17,0.4286,0.1429,0.1429,0.4286,0.4286,0.7113,-59.6,16.0,8.3,25.7,2.08,14,1.0,0.95,1.23,1.79
43.276,-52.5,IDA,127.5,8,569,1840,1426,0.6643,0.6922,0.2857,0.5159,0.3692,7,0.1917,1.3,2.3,1.08,0.1429,0.1429,0.1429,0.5714,0.1429,0.6643,-54.1,17.3,9.3,19.6,2.42,14,1.42,1.01,1.14,2.03
45.464,-37.5,IDA,142.5,9,136,1765,1093,0.6999,0.7412,0.25,0.5386,0.213,8,0.2169,1.01,2.1,1.27,0.25,0.25,0.125,0.625,0.625,0.6999,-50.6,19.0,10.5,30.3,3.15,16,1.1,1.01,0.89,1.7
44.47,-22.5,IDA,157.5,10,40,1858,1230,0.6816,0.66,0.4615,0.5997,0.2459,13,0.2284,1.0,3.7,1.15,0.4615,0.0769,0.0,0.6923,0.3846,0.6816,-52.9,15.3,8.4,23.3,2.54,26,0.75,0.95,1.17,1.54
45.702,-7.5,IDA,172.5,11,112,1765,1294,0.6664,0.6054,0.0,0.5006,0.3186,11,0.2125,1.1,2.9,1.31,0.6364,0.0909,0.0,0.2727,0.5455,0.6664,-51.1,14.2,7.8,26.9,2.62,22,1.29,0.9,1.27,1.82
53.036,7.5,IDA,187.5,12,161,1925,1173,0.695,0.6874,0.4167,0.5777,0.2972,12,0.2058,1.01,2.7,0.93,0.3333,0.0833,0.0,0.4167,0.25,0.695,-52.5,17.6,11.3,24.4,3.21,24,1.1,0.85,1.05,1.51
39.776,22.5,IDA,202.5,13,4,1893,1110,0.7354,0.7273,0.3,0.4502,0.1942,10,0.204,1.06,2.8,1.21,0.3,0.1,0.1,0.9,0.4,0.7354,-41.1,19.7,7.5,20.8,2.91,20,0.8,1.08,1.05,1.57
51.821,37.5,IDA,217.5,14,175,1948,1255,0.6733,0.7212,0.0625,0.6153,0.2994,16,0.2433,1.22,2.6,1.41,0.5625,0.0625,0.125,0.1875,0.3125,0.6733,-47.2,16.9,6.5,22.5,2.81,32,1.18,1.06,1.15,1.94
47.454,52.5,IDA,232.5,15,106,1944,1144,0.6518,0.6297,0.2353,0.5343,0.2465,17,0.1538,1.11,3.4,1.39,0.4118,0.0588,0.1765,0.4706,0.5882,0.6518,-56.8,18.4,8.5,23.5,2.82,34,1.07,0.99,1.19,1.84
46.668,67.5,IDA,247.5,16,120,1906,740,0.5986,0.5794,0.3,0.5645,0.2742,10,0.1864,0.85,3.6,1.54,0.2,0.2,0.1,0.6,0.3,0.5986,-51.5,15.5,7.2,22.3,2.32,20,1.23,1.03,1.21,1.64
41.485,82.5,IDA,262.5,17,524,1953,1184,0.6192,0.5638,0.2857,0.4307,0.2446,7,0.223,1.16,3.1,1.13,0.4286,0.0,0.0,0.1429,0.5714,0.6192,-54.0,15.5,10.5,26.1,3.37,14,1.32,1.05,1.1,1.76
49.517,97.5,IDA,277.5,18,63,1752,853,0.5975,0.6171,0.3333,0.5978,0.2741,18,0.2111,0.85,2.6,1.27,0.5556,0.0556,0.0,0.6111,0.3889,0.5975,-56.7,18.0,11.0,21.6,3.09,36,1.08,0.95,1.17,1.96
41.623,112.5,IDA,292.5,19,74,1962,1177,0.6982,0.6418,0.1429,0.4664,0.2087,14,0.2102,1.19,3.3,1.33,0.5,0.2143,0.0,0.2143,0.1429,0.6982,-54.8,18.9,13.4,22.1,3.3,28,0.97,1.06,0.95,1.96
50.975,127.5,IDA,307.5,20,357,1836,1300,0.6873,0.6789,0.2857,0.5692,0.2815,7,0.1844,1.07,1.7,1.4,0.4286,0.0,0.0,0.2857,0.8571,0.6873,-59.0,18.2,13.7,18.6,2.59,14,1.23,0.78,1.01,2.42
40.109,142.5,IDA,322.5,21,540,1964,1181,0.6955,0.7411,0.1429,0.484,0.3235,7,0.1733,1.14,3.4,0.87,0.7143,0.0,0.0,0.5714,0.5714,0.6955,-47.4,22.5,10.0,26.5,3.42,14,1.36,0.84,1.2,2.05
44.47,157.5,IDA,337.5,22,68,1933,1366,0.6145,0.6093,0.0,0.4581,0.2227,10,0.1574,1.11,2.9,1.27,0.3,0.2,0.0,0.6,0.5,0.6145,-44.2,16.2,9.0,26.2,2.64,20,1.04,1.05,1.09,1.62
38.291,172.5,IDA,352.5,23,598,1952,1413,0.5776,0.5396,0.25,0.5628,0.224,8,0.1496,1.28,2.6,1.05,0.625,0.0,0.0,0.375,0.5,0.5776,-50.6,16.8,12.8,22.9,3.14,16,1.31,0.99,0.83,1.73
-13.056,-112.5,SEIS,7.5,0,306,1636,714,0.6794,0.6132,0.1429,0.4929,0.2301,7,0.2008,0.87,1.9,1.31,0.5714,0.0,0.0,0.7143,0.5714,0.6794,-52.3,16.2,9.6,30.0,3.07,14,1.31,1.11,1.01,1.43
-8.78,-97.5,SEIS,22.5,1,5,1711,1235,0.6076,0.6007,0.3,0.616,0.2272,10,0.236,1.11,2.6,1.25,0.6,0.0,0.0,0.3,0.3,0.6076,-59.2,16.0,7.2,21.9,2.53,20,1.0,1.06,0.93,1.71
-19.2,-82.5,SEIS,37.5,2,510,1835,1199,0.7475,0.6896,0.0,0.5905,0.1942,4,0.2769,1.19,3.8,1.62,1.0,0.0,0.0,0.5,0.5,0.7475,-48.6,18.5,6.8,32.3,1.58,8,1.62,1.17,0.91,2.06
